,frame,tracker_id,field_x,field_y,label
0,0,9.0,40.266483,20.6358,RB
1,0,2.0,45.06978,8.3064375,WR
2,0,14.0,45.40948,19.576069,T
3,0,13.0,45.085682,26.188635,G
4,0,3.0,44.815453,30.628178,TE
5,0,7.0,45.297333,41.637684,WR
6,0,1.0,48.6403,16.895355,LB
7,0,10.0,48.41647,21.036398,LB
8,0,12.0,48.097107,25.844818,LB
9,0,4.0,45.922653,50.62434,WR
10,0,8.0,52.222076,42.332024,DB
11,0,6.0,55.67162,48.399216,DB
12,0,5.0,59.477592,18.972067,DB
13,0,11.0,60.398983,38.790066,DB
14,0,52.0,40.237488,24.4185,QB
15,0,53.0,46.107754,23.097532,C
16,0,54.0,45.443127,22.273352,G
17,0,55.0,44.72057,26.946384,T
18,0,56.0,48.02616,8.273628,DB
19,0,57.0,52.70168,33.7888,LB
20,0,58.0,48.20805,22.614855,DL
21,0,59.0,48.22186,29.270454,DL
22,1,1.0,48.648567,16.89639,
23,1,2.0,45.082996,8.382705,
24,1,3.0,44.815453,30.628178,
25,1,4.0,45.91934,50.65345,
26,1,5.0,59.469902,18.971123,
27,1,6.0,55.640175,48.453735,
28,1,7.0,45.297333,41.637684,
29,1,8.0,52.21726,42.279434,
30,1,9.0,40.275475,20.636782,
31,1,10.0,48.391026,21.033577,
32,1,11.0,60.39798,38.814453,
33,1,12.0,48.05433,25.907951,
34,1,13.0,45.097675,26.166979,
35,1,14.0,45.42097,19.556267,
36,2,1.0,48.65214,16.878725,
37,2,2.0,45.090183,8.363375,
38,2,3.0,44.826538,30.60756,
39,2,4.0,45.927784,50.65852,
40,2,5.0,59.46949,18.953482,
41,2,6.0,55.64315,48.46322,
42,2,7.0,45.314728,41.63837,
43,2,8.0,52.216434,42.2704,
44,2,9.0,40.268936,20.636068,
45,2,10.0,48.383526,20.994398,
46,2,11.0,60.435455,38.8426,
47,2,12.0,48.108204,25.924631,
48,2,13.0,45.094284,26.203463,
49,3,1.0,48.642757,16.83627,
50,3,2.0,45.089813,8.371679,
51,3,3.0,44.82199,30.600462,
52,3,4.0,45.91562,50.63361,
53,3,5.0,59.45593,18.946304,
54,3,6.0,55.638023,48.440865,
55,3,7.0,45.31167,41.63825,
56,3,8.0,52.230167,42.200275,
57,3,9.0,40.269936,20.616926,
58,3,10.0,48.351067,20.92341,
59,3,11.0,60.457294,38.78653,
60,3,12.0,48.131863,25.889502,
61,3,13.0,45.10359,26.196278,
62,4,1.0,48.643734,16.7894,
63,4,2.0,45.08487,8.357699,
64,4,3.0,44.817562,30.61871,
65,4,4.0,45.920208,50.625546,
66,4,5.0,59.4517,18.944448,
67,4,6.0,55.63013,48.40942,
68,4,7.0,45.310272,41.638195,
69,4,8.0,52.226864,42.177925,
70,4,9.0,40.262722,20.609972,
71,4,10.0,48.30913,20.86189,
72,4,11.0,60.47705,38.789536,
73,4,12.0,48.153305,25.87917,
